Sujet,Groupe,Source,Tours,Erreurs
15,jeune,simulation,13,4
1015,vieux,simulation,24,15
16,jeune,simulation,14,5
1016,vieux,simulation,24,15
17,jeune,simulation,10,1
1017,vieux,simulation,21,12
18,jeune,simulation,14,5
1018,vieux,simulation,28,19
19,jeune,simulation,13,4
1019,vieux,simulation,21,12
20,jeune,simulation,13,4
1020,vieux,simulation,25,16
21,jeune,simulation,12,3
1021,vieux,simulation,25,16
22,jeune,simulation,12,3
1022,vieux,simulation,25,16
23,jeune,simulation,12,3
1023,vieux,simulation,23,14
24,jeune,simulation,11,2
1024,vieux,simulation,24,15
25,jeune,simulation,12,3
1025,vieux,simulation,20,11
26,jeune,simulation,12,3
1026,vieux,simulation,24,15
27,jeune,simulation,12,3
1027,vieux,simulation,23,14
28,jeune,simulation,12,3
1028,vieux,simulation,20,11
29,jeune,simulation,12,3
1029,vieux,simulation,18,9
30,jeune,simulation,12,3
1030,vieux,simulation,27,18
31,jeune,simulation,12,3
1031,vieux,simulation,24,15
32,jeune,simulation,12,3
1032,vieux,simulation,24,15
33,jeune,simulation,15,6
1033,vieux,simulation,19,10
34,jeune,simulation,14,5
1034,vieux,simulation,19,10
35,jeune,simulation,14,5
1035,vieux,simulation,26,17
36,jeune,simulation,13,4
1036,vieux,simulation,23,14
37,jeune,simulation,12,3
1037,vieux,simulation,18,9
38,jeune,simulation,13,4
1038,vieux,simulation,30,21
39,jeune,simulation,14,5
1039,vieux,simulation,25,16
40,jeune,simulation,9,0
1040,vieux,simulation,21,12
41,jeune,simulation,13,4
1041,vieux,simulation,22,13
42,jeune,simulation,13,4
1042,vieux,simulation,28,19
43,jeune,simulation,12,3
1043,vieux,simulation,24,15
44,jeune,simulation,14,5
1044,vieux,simulation,25,16
45,jeune,simulation,11,2
1045,vieux,simulation,26,17
46,jeune,simulation,11,2
1046,vieux,simulation,27,18
47,jeune,simulation,12,3
1047,vieux,simulation,18,9
48,jeune,simulation,13,4
1048,vieux,simulation,19,10
49,jeune,simulation,14,5
1049,vieux,simulation,23,14
50,jeune,simulation,15,6
1050,vieux,simulation,24,15
51,jeune,simulation,13,4
1051,vieux,simulation,26,17
52,jeune,simulation,11,2
1052,vieux,simulation,21,12
53,jeune,simulation,15,6
1053,vieux,simulation,29,20
54,jeune,simulation,13,4
1054,vieux,simulation,20,11
55,jeune,simulation,13,4
1055,vieux,simulation,22,13
56,jeune,simulation,13,4
1056,vieux,simulation,22,13
57,jeune,simulation,11,2
1057,vieux,simulation,31,22
58,jeune,simulation,12,3
1058,vieux,simulation,30,21
59,jeune,simulation,12,3
1059,vieux,simulation,31,22
60,jeune,simulation,14,5
1060,vieux,simulation,24,15
61,jeune,simulation,13,4
1061,vieux,simulation,20,11
62,jeune,simulation,12,3
1062,vieux,simulation,23,14
63,jeune,simulation,15,6
1063,vieux,simulation,21,12
64,jeune,simulation,14,5
1064,vieux,simulation,27,18
65,jeune,simulation,12,3
1065,vieux,simulation,23,14
66,jeune,simulation,14,5
1066,vieux,simulation,24,15
67,jeune,simulation,13,4
1067,vieux,simulation,22,13
68,jeune,simulation,15,6
1068,vieux,simulation,25,16
69,jeune,simulation,12,3
1069,vieux,simulation,26,17
70,jeune,simulation,13,4
